Job_Title,Company,Location,Experience,Job_URL
Associate System Engineer “Associate Data Management Engineer,Target Integrated Systems -,"Cairo, Egypt",0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/ubsrja3n94m1-associate-system-engineer-associate-data-management-engineer-target-integrated-systems-cairo-egypt
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",5+ Yrs of Exp,https://wuzzuf.net/jobs/p/3x6prdwpt2tz-senior-data-engineer-vertex-technologies-cairo-egypt
Data Center Facility Electrical/ Mechanical Engineer,GPX Egypt -,"New Cairo, Cairo, Egypt",3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/39xm37penfcr-data-center-facility-electrical-mechanical-engineer-gpx-egypt-cairo-egypt
Data Engineer (Infrastructure & Operations),MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt",5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/mhqqwhx31ryd-data-engineer-infrastructure-operations-meahco-saudi-german-health-cairo-egypt
Sr. Data Engineer - Spark,Techsa -,"Cairo, Egypt",7+ Yrs of Exp,https://wuzzuf.net/jobs/p/4w6f7tucldaf-sr-data-engineer-spark-techsa-cairo-egypt
Sr. Data Engineer - Flink,Techsa -,"Cairo, Egypt",7+ Yrs of Exp,https://wuzzuf.net/jobs/p/kxuhb21u1pz5-sr-data-engineer-flink-techsa-cairo-egypt
Principal Data Engineer,Vertex Technologies -,"Cairo, Egypt",6+ Yrs of Exp,https://wuzzuf.net/jobs/p/2hly9qsdamhe-principal-data-engineer-vertex-technologies-cairo-egypt
Production Planning Engineer,Badawy - BEECO -,"Cairo, Egypt",3+ Yrs of Exp,https://wuzzuf.net/jobs/p/nebtxse2to5r-production-planning-engineer-badawy-beeco-cairo-egypt
Technical Support & Quality Engineer,Bouri Group -,"New Cairo, Cairo, Egypt",4 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/24a55ggjdiio-technical-support-quality-engineer-bouri-group-cairo-egypt
Planning Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/nqbt5abgv20b-planning-engineer-saudi-firmness-cairo-egypt
